location_id,name,plainName,cp,lat,lon,createdAt,updatedAt
1,Alegría-Dulantzi,alegria-dulantzi,1240,42.841171,-2.512608,2/21/2016 11:21:57,2/21/2016 11:21:57
2,Amurrio,amurrio,1470,43.05191,-3.00123,2/21/2016 11:21:57,2/21/2016 11:21:57
3,Añana,anana,1426,42.81144,-2.9876,2/21/2016 11:21:57,2/21/2016 11:21:57
4,Aramaio,aramaio,1169,43.051392,-2.56389,2/21/2016 11:21:57,2/21/2016 11:21:57
5,Armión,arminon,1220,42.723141,-2.87189,2/21/2016 11:21:57,2/21/2016 11:21:57
6,Arraia-Maeztu,arraia-maeztu,1120,42.738312,-2.44714,2/21/2016 11:21:57,2/21/2016 11:21:57
7,Arrazua-Ubarrundia,arrazua-ubarrundia,1520,42.890115,-2.640152,2/21/2016 11:21:57,2/21/2016 11:21:57
8,Artziniega,artziniega,1474,43.12254,-3.12929,2/21/2016 11:21:57,2/21/2016 11:21:57
9,Asparrena,asparrena,1250,42.88945,-2.31674,2/21/2016 11:21:57,2/21/2016 11:21:57
10,Ayala,ayala,1476,43.077339,-3.04373,2/21/2016 11:21:57,2/21/2016 11:21:57
11,Baños de Ebro,banos-de-ebro,1307,42.530079,-2.67764,2/21/2016 11:21:57,2/21/2016 11:21:57
12,Barrundia,barrundia,1206,42.917229,-2.49504,2/21/2016 11:21:57,2/21/2016 11:21:57
13,Berantevilla,berantevilla,1211,42.68259,-2.85929,2/21/2016 11:21:57,2/21/2016 11:21:57
14,Bernedo,bernedo,1118,42.62788,-2.49509,2/21/2016 11:21:57,2/21/2016 11:21:57
15,Campezo,campezo,1110,42.67075,-2.35179,2/21/2016 11:21:57,2/21/2016 11:21:57
16,Elburgo,elburgo,1192,42.849751,-2.54493,2/21/2016 11:21:57,2/21/2016 11:21:57
17,Elciego,elciego,1340,42.514488,-2.61654,2/21/2016 11:21:57,2/21/2016 11:21:57
18,Elvillar,elvillar,1309,42.570339,-2.54171,2/21/2016 11:21:57,2/21/2016 11:21:57
19,Valle de Arana,valle-de-arana,1117,42.754341,-2.33149,2/21/2016 11:21:57,2/21/2016 11:21:57
20,Iruña de Oca,iruna-de-oca,1230,42.817848,-2.80732,2/21/2016 11:21:57,2/21/2016 11:21:57
21,Iruraiz-Gauna,iruraiz-gauna,1193,42.831589,-2.47571,2/21/2016 11:21:57,2/21/2016 11:21:57
22,Kripan,kripan,1308,42.59269,-2.5143,2/21/2016 11:21:57,2/21/2016 11:21:57
23,Kuartango,kuartango,1430,42.86935,-2.88772,2/21/2016 11:21:57,2/21/2016 11:21:57
24,Labastida,labastida,1330,42.589821,-2.79569,2/21/2016 11:21:57,2/21/2016 11:21:57
25,Lagrán,lagran,1118,42.625889,-2.58125,2/21/2016 11:21:57,2/21/2016 11:21:57
26,Laguardia,laguardia,1300,42.554199,-2.5833,2/21/2016 11:21:57,2/21/2016 11:21:57
27,Lanciego,lanciego,1308,42.563599,-2.51099,2/21/2016 11:21:57,2/21/2016 11:21:57
28,Lantarón,lantaron,1213,42.745811,-3.02788,2/21/2016 11:21:57,2/21/2016 11:21:57
29,Lapuebla de Labarca,lapuebla-de-labarca,1306,42.493912,-2.57335,2/21/2016 11:21:57,2/21/2016 11:21:57
30,Llodio,llodio,1400,43.143688,-2.96243,2/21/2016 11:21:57,2/21/2016 11:21:57
31,Legutiano,legutiano,1170,42.981361,-2.64225,2/21/2016 11:21:57,2/21/2016 11:21:57
32,Leza,leza,1309,42.565861,-2.6336,2/21/2016 11:21:57,2/21/2016 11:21:57
33,Moreda de Álava,moreda-de-alava,1322,42.5261,-2.40826,2/21/2016 11:21:57,2/21/2016 11:21:57
34,Navaridas,navaridas,1309,42.544762,-2.62563,2/21/2016 11:21:57,2/21/2016 11:21:57
35,Okondo,okondo,1409,43.152531,-3.02868,2/21/2016 11:21:57,2/21/2016 11:21:57
36,Oyón,oyon,1320,42.50209,-2.43573,2/21/2016 11:21:57,2/21/2016 11:21:57
37,Peñacerrada,penacerrada,1212,42.643902,-2.7122,2/21/2016 11:21:57,2/21/2016 11:21:57
38,Ribera Alta,ribera-alta,1420,42.803291,-2.90969,2/21/2016 11:21:57,2/21/2016 11:21:57
39,Ribera Baja,ribera-baja,1213,42.711472,-2.91843,2/21/2016 11:21:57,2/21/2016 11:21:57
40,Salvatierra,salvatierra,1200,42.849289,-2.38869,2/21/2016 11:21:57,2/21/2016 11:21:57
41,Samaniego,samaniego,1307,42.56818,-2.67915,2/21/2016 11:21:57,2/21/2016 11:21:57
42,San Millán,san-millan,1208,42.874378,-2.37621,2/21/2016 11:21:57,2/21/2016 11:21:57
43,Urkabustaiz,urkabustaiz,1440,42.954269,-2.9016,2/21/2016 11:21:57,2/21/2016 11:21:57
44,Valdegovía,valdegovia,1426,42.90604,-3.20434,2/21/2016 11:21:57,2/21/2016 11:21:57
45,Villabuena de Álava,villabuena-de-alava,1307,42.54567,-2.66449,2/21/2016 11:21:57,2/21/2016 11:21:57
