party_id,party,createdAt,updatedAt
1,OTROS...,2/21/2016 11:21:57,2/21/2016 11:21:57
2,PARTIDO POPULAR,2/21/2016 11:21:57,2/21/2016 11:21:57
3,PARTIDO SOCIALISTA OBRERO ESPAÑOL,2/21/2016 11:21:57,2/21/2016 11:21:57
4,PODEMOS,2/21/2016 11:21:57,2/21/2016 11:21:57
5,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,2/21/2016 11:21:57,2/21/2016 11:21:57
6,EN COMÚ PODEM,2/21/2016 11:21:57,2/21/2016 11:21:57
7,COMPROMÍS-PODEMOS-ÉS EL MOMENT,2/21/2016 11:21:57,2/21/2016 11:21:57
8,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,2/21/2016 11:21:57,2/21/2016 11:21:57
9,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES. REAGRUPAMENT,2/21/2016 11:21:57,2/21/2016 11:21:57
10,EN MAREA,2/21/2016 11:21:57,2/21/2016 11:21:57
11,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,2/21/2016 11:21:57,2/21/2016 11:21:57
12,UNIDAD POPULAR,2/21/2016 11:21:57,2/21/2016 11:21:57
13,EUSKAL HERRIA BILDU,2/21/2016 11:21:57,2/21/2016 11:21:57
14,COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO,2/21/2016 11:21:57,2/21/2016 11:21:57
15,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,2/21/2016 11:21:57,2/21/2016 11:21:57
16,UNIÓN PROGRESO Y DEMOCRACIA,2/21/2016 11:21:57,2/21/2016 11:21:57
17,NÓS-CANDIDATURA GALEGA,2/21/2016 11:21:57,2/21/2016 11:21:57
18,UNIÓ DEMOCRÀTICA DE CATALUNYA,2/21/2016 11:21:57,2/21/2016 11:21:57
19,VOX,2/21/2016 11:21:57,2/21/2016 11:21:57
20,RECORTES CERO-GRUPO VERDE,2/21/2016 11:21:57,2/21/2016 11:21:57
21,MÉS,2/21/2016 11:21:57,2/21/2016 11:21:57
22,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,2/21/2016 11:21:57,2/21/2016 11:21:57
23,GEROA BAI,2/21/2016 11:21:57,2/21/2016 11:21:57
24,EL PI - PROPOSTA PER LES ILLES,2/21/2016 11:21:57,2/21/2016 11:21:57
25,CIUDADANOS DE CENTRO DEMOCRÁTICO,2/21/2016 11:21:57,2/21/2016 11:21:57
26,ESCAÑOS EN BLANCO,2/21/2016 11:21:57,2/21/2016 11:21:57
27,FALANGE ESPAÑOLA DE LAS J.O.N.S.,2/21/2016 11:21:57,2/21/2016 11:21:57
28,X LA IZQUIERDA-LOS VERDES,2/21/2016 11:21:57,2/21/2016 11:21:57
29,SOM VALENCIANS,2/21/2016 11:21:57,2/21/2016 11:21:57
30,POR UN MUNDO MÁS JUSTO,2/21/2016 11:21:57,2/21/2016 11:21:57
31,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,2/21/2016 11:21:57,2/21/2016 11:21:57
32,LOS VERDES-ECOPACIFISTAS,2/21/2016 11:21:57,2/21/2016 11:21:57
33,PARTIDO DA TERRA,2/21/2016 11:21:57,2/21/2016 11:21:57
34,PARTIDO HUMANISTA,2/21/2016 11:21:57,2/21/2016 11:21:57
35,CANARIAS DECIDE: LOS VERDES,2/21/2016 11:21:57,2/21/2016 11:21:57
36,PARTIDO LIBERTARIO,2/21/2016 11:21:57,2/21/2016 11:21:57
37,ARA,2/21/2016 11:21:57,2/21/2016 11:21:57
38,EXTREMADURA UNIDA-EXTREMEÑOS,2/21/2016 11:21:57,2/21/2016 11:21:57
39,PARTIDO COMUNISTA OBRERO ESPAÑOL,2/21/2016 11:21:57,2/21/2016 11:21:57
40,DEMOCRACIA NACIONAL,2/21/2016 11:21:57,2/21/2016 11:21:57
41,INICIATIVA FEMINISTA,2/21/2016 11:21:57,2/21/2016 11:21:57
42,PARTIDO REGIONALISTA DEL PAÍS LEONES,2/21/2016 11:21:57,2/21/2016 11:21:57
43,EN POSITIU,2/21/2016 11:21:57,2/21/2016 11:21:57
44,CIUDADANOS LIBRES UNIDOS,2/21/2016 11:21:57,2/21/2016 11:21:57
45,CIUDADANOS RURALES AGRUPADOS,2/21/2016 11:21:57,2/21/2016 11:21:57
46,LIBERTAD NAVARRA,2/21/2016 11:21:57,2/21/2016 11:21:57
47,AVANT VALENCIANS,2/21/2016 11:21:57,2/21/2016 11:21:57
48,MÁLAGA POR SÍ,2/21/2016 11:21:57,2/21/2016 11:21:57
49,ANDALUCES DE JAÉN UNIDOS,2/21/2016 11:21:57,2/21/2016 11:21:57
50,FAMILIA Y VIDA,2/21/2016 11:21:57,2/21/2016 11:21:57
51,INDEPENDIENTES POR ARAGÓN,2/21/2016 11:21:57,2/21/2016 11:21:57
52,FORO DEMÓCRATA,2/21/2016 11:21:57,2/21/2016 11:21:57
53,SOLUCIONA,2/21/2016 11:21:57,2/21/2016 11:21:57
54,JUSTIZIA SOCIAL,2/21/2016 11:21:57,2/21/2016 11:21:57
55,MUERTE AL SISTEMA,2/21/2016 11:21:57,2/21/2016 11:21:57
56,PARTIDO LIBERAL DE DERECHAS,2/21/2016 11:21:57,2/21/2016 11:21:57
57,ONGI ETORRI,2/21/2016 11:21:57,2/21/2016 11:21:57
